userId,movieId,ratings,timestamp,title,genres
56146,1,5.0,856290162,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
104163,1,5.0,993173154,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
98032,1,2.5,1127688130,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
13600,1,4.5,1237403165,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
21961,1,4.0,1448748225,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
147239,2,1.5,1070053854,Jumanji (1995),Adventure|Children|Fantasy
149022,2,3.5,1521334649,Jumanji (1995),Adventure|Children|Fantasy
10196,2,2.5,1452004238,Jumanji (1995),Adventure|Children|Fantasy
49777,2,1.5,1081275303,Jumanji (1995),Adventure|Children|Fantasy
7416,2,4.0,1524970155,Jumanji (1995),Adventure|Children|Fantasy
18986,3,5.0,837385700,Grumpier Old Men (1995),Comedy|Romance
16136,3,4.0,941272572,Grumpier Old Men (1995),Comedy|Romance
34056,3,2.0,1076095433,Grumpier Old Men (1995),Comedy|Romance
44203,3,2.0,944408135,Grumpier Old Men (1995),Comedy|Romance
32104,3,2.0,864317501,Grumpier Old Men (1995),Comedy|Romance
34028,4,1.0,945590223,Waiting to Exhale (1995),Comedy|Drama|Romance
8591,4,2.0,938839981,Waiting to Exhale (1995),Comedy|Drama|Romance
25095,4,0.5,1250534168,Waiting to Exhale (1995),Comedy|Drama|Romance
111857,4,1.0,835525636,Waiting to Exhale (1995),Comedy|Drama|Romance
34474,4,4.0,846563045,Waiting to Exhale (1995),Comedy|Drama|Romance
101274,5,3.5,1436112604,Father of the Bride Part II (1995),Comedy
51575,5,2.0,963968187,Father of the Bride Part II (1995),Comedy
175451,5,5.0,844864839,Father of the Bride Part II (1995),Comedy
109814,5,4.5,1522688154,Father of the Bride Part II (1995),Comedy
149699,5,4.0,846099774,Father of the Bride Part II (1995),Comedy
29608,6,4.0,1218942737,Heat (1995),Action|Crime|Thriller
53886,6,4.0,835741492,Heat (1995),Action|Crime|Thriller
96795,6,4.0,854235572,Heat (1995),Action|Crime|Thriller
